sep=;
ID;Description;weight-gr;Type;Color;Size;Price;EU 1st item;EU additional;near-EU 1st item;near-EU additional;wwide 1st item;ww additional
725;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Navy / 2XL);198.4;Apparel;Navy;2XL;13.47;5;0.75;8;1;10;1.2
727;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Purple / 2XL);198.4;Apparel;Purple;2XL;13.47;5;0.75;8;1;10;1.2
728;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Red / 2XL);198.4;Apparel;Red;2XL;13.47;5;0.75;8;1;10;1.2
730;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Sport Grey / 2XL);198.4;Apparel;Sport Grey;2XL;13.47;5;0.75;8;1;10;1.2
829;European Apparel 5495W Unisex California Fleece Pullover Hoodie (Black / S);382.7;Apparel;Black;S;24.37;8;2;10;2;11;2.2
832;European Apparel 5495W Unisex California Fleece Pullover Hoodie (Navy / S);382.7;Apparel;Navy;S;24.37;8;2;10;2;11;2.2
836;European Apparel 5495W Unisex California Fleece Pullover Hoodie (Black / M);413.9;Apparel;Black;M;24.37;8;2;10;2;11;2.2
839;European Apparel 5495W Unisex California Fleece Pullover Hoodie (Navy / M);413.9;Apparel;Navy;M;24.37;8;2;10;2;11;2.2
843;European Apparel 5495W Unisex California Fleece Pullover Hoodie (Black / L);462.1;Apparel;Black;L;24.37;8;2;10;2;11;2.2
846;European Apparel 5495W Unisex California Fleece Pullover Hoodie (Navy / L);462.1;Apparel;Navy;L;24.37;8;2;10;2;11;2.2
850;European Apparel 5495W Unisex California Fleece Pullover Hoodie (Black / XL);507.5;Apparel;Black;XL;24.37;8;2;10;2;11;2.2
853;European Apparel 5495W Unisex California Fleece Pullover Hoodie (Navy / XL);507.5;Apparel;Navy;XL;24.37;8;2;10;2;11;2.2
857;European Apparel 5495W Unisex California Fleece Pullover Hoodie (Black / 2XL);521.6;Apparel;Black;2XL;25.24;8;2;10;2;11;2.2
860;European Apparel 5495W Unisex California Fleece Pullover Hoodie (Navy / 2XL);521.6;Apparel;Navy;2XL;27.03;8;2;10;2;11;2.2
1024;European Apparel 2408 Fine Jersey Tank Top Unisex (Asphalt / XS);104.9;Apparel;Asphalt;XS;13.3;5;0.75;8;1;10;1.2
1025;European Apparel 2408 Fine Jersey Tank Top Unisex (Black / XS);104.9;Apparel;Black;XS;13.3;5;0.75;8;1;10;1.2
1031;European Apparel 2408 Fine Jersey Tank Top Unisex (Navy / XS);104.9;Apparel;Navy;XS;13.3;5;0.75;8;1;10;1.2
1037;European Apparel 2408 Fine Jersey Tank Top Unisex (White / XS);104.9;Apparel;White;XS;12.43;5;0.75;8;1;10;1.2
1038;European Apparel 2408 Fine Jersey Tank Top Unisex (Asphalt / S);107.7;Apparel;Asphalt;S;13.3;5;0.75;8;1;10;1.2
1039;European Apparel 2408 Fine Jersey Tank Top Unisex (Black / S);107.7;Apparel;Black;S;13.3;5;0.75;8;1;10;1.2
1045;European Apparel 2408 Fine Jersey Tank Top Unisex (Navy / S);107.7;Apparel;Navy;S;13.3;5;0.75;8;1;10;1.2
1051;European Apparel 2408 Fine Jersey Tank Top Unisex (White / S);107.7;Apparel;White;S;12.43;5;0.75;8;1;10;1.2
1052;European Apparel 2408 Fine Jersey Tank Top Unisex (Asphalt / M);116.2;Apparel;Asphalt;M;13.3;5;0.75;8;1;10;1.2
1053;European Apparel 2408 Fine Jersey Tank Top Unisex (Black / M);116.2;Apparel;Black;M;13.3;5;0.75;8;1;10;1.2
1059;European Apparel 2408 Fine Jersey Tank Top Unisex (Navy / M);116.2;Apparel;Navy;M;13.3;5;0.75;8;1;10;1.2
1065;European Apparel 2408 Fine Jersey Tank Top Unisex (White / M);116.2;Apparel;White;M;12.43;5;0.75;8;1;10;1.2
1066;European Apparel 2408 Fine Jersey Tank Top Unisex (Asphalt / L);133.2;Apparel;Asphalt;L;13.3;5;0.75;8;1;10;1.2
1067;European Apparel 2408 Fine Jersey Tank Top Unisex (Black / L);133.2;Apparel;Black;L;13.3;5;0.75;8;1;10;1.2
1073;European Apparel 2408 Fine Jersey Tank Top Unisex (Navy / L);133.2;Apparel;Navy;L;13.3;5;0.75;8;1;10;1.2
1079;European Apparel 2408 Fine Jersey Tank Top Unisex (White / L);133.2;Apparel;White;L;12.43;5;0.75;8;1;10;1.2
1080;European Apparel 2408 Fine Jersey Tank Top Unisex (Asphalt / XL);150.3;Apparel;Asphalt;XL;13.3;5;0.75;8;1;10;1.2
1081;European Apparel 2408 Fine Jersey Tank Top Unisex (Black / XL);150.3;Apparel;Black;XL;13.3;5;0.75;8;1;10;1.2
1087;European Apparel 2408 Fine Jersey Tank Top Unisex (Navy / XL);150.3;Apparel;Navy;XL;13.3;5;0.75;8;1;10;1.2
